iter	Passed	Remaining
0	143	142978
1	143	71755
2	144	48055
3	145	36150
4	145	29002
5	146	24249
6	146	20844
7	147	18282
8	147	16290
9	148	14701
10	149	13399
11	149	12337
12	150	11452
13	151	10673
14	152	9998
15	153	9410
16	153	8900
17	154	8438
18	155	8023
19	156	7648
20	156	7307
21	157	6992
22	157	6705
23	158	6442
24	159	6201
25	159	5979
26	160	5772
27	160	5578
28	161	5400
29	161	5232
30	162	5075
31	162	4930
32	163	4791
33	164	4661
34	164	4537
35	165	4420
36	165	4309
37	166	4204
38	166	4104
39	167	4012
40	167	3924
41	168	3839
42	168	3757
43	169	3679
44	169	3605
45	170	3534
46	170	3465
47	171	3399
48	171	3336
49	172	3276
50	172	3218
51	173	3163
52	174	3109
53	174	3058
54	175	3008
55	175	2960
56	176	2913
57	176	2867
58	177	2824
59	177	2782
60	178	2741
61	178	2701
62	179	2663
63	179	2626
64	180	2592
65	180	2558
66	181	2526
67	181	2490
68	182	2458
69	182	2428
70	183	2403
71	184	2374
72	184	2345
73	185	2317
74	185	2292
75	186	2266
76	186	2240
77	187	2215
78	187	2191
79	188	2167
80	188	2143
81	189	2120
82	189	2097
83	190	2075
84	190	2053
85	191	2032
86	191	2010
87	192	1990
88	192	1972
89	193	1953
90	193	1935
91	194	1916
92	194	1898
93	195	1881
94	195	1865
95	196	1849
96	197	1834
97	197	1818
98	199	1812
99	199	1797
100	200	1783
101	200	1767
102	201	1753
103	201	1738
104	202	1724
105	202	1710
106	203	1697
107	203	1683
108	204	1671
109	205	1659
110	205	1647
111	206	1634
112	206	1623
113	207	1611
114	207	1599
115	208	1586
116	208	1574
117	209	1563
118	209	1551
119	210	1540
120	210	1530
121	211	1520
122	211	1508
123	212	1498
124	212	1488
125	213	1478
126	213	1468
127	213	1457
128	214	1448
129	214	1438
130	215	1429
131	215	1419
132	216	1410
133	216	1401
134	217	1393
135	217	1384
136	218	1376
137	218	1367
138	219	1358
139	219	1350
140	220	1342
141	220	1334
142	221	1326
143	221	1318
144	222	1310
145	222	1302
146	223	1295
147	223	1288
148	224	1280
149	224	1273
150	225	1266
151	225	1259
152	226	1252
153	226	1245
154	227	1238
155	227	1232
156	228	1225
157	228	1219
158	229	1212
159	229	1206
160	230	1200
161	230	1194
162	231	1188
163	231	1182
164	232	1176
165	232	1170
166	233	1164
167	233	1158
168	234	1152
169	235	1147
170	235	1141
171	236	1136
172	236	1131
173	237	1126
174	237	1120
175	238	1115
176	238	1109
177	239	1104
178	239	1099
179	240	1094
180	240	1088
181	241	1083
182	241	1078
183	241	1073
184	242	1068
185	243	1063
186	243	1059
187	244	1054
188	244	1049
189	245	1044
190	245	1040
191	246	1035
192	246	1031
193	247	1026
194	247	1022
195	248	1018
196	248	1013
197	249	1009
198	249	1005
199	250	1001
200	250	997
201	251	992
202	251	988
203	252	984
204	252	980
205	253	976
206	253	972
207	254	968
208	255	965
209	255	961
210	256	957
211	256	953
212	257	949
213	257	946
214	258	942
215	258	938
216	259	935
217	259	931
218	260	927
219	260	924
220	261	920
221	261	917
222	262	913
223	262	910
224	263	906
225	263	903
226	264	899
227	264	896
228	265	893
229	265	890
230	266	886
231	266	883
232	267	880
233	267	877
234	268	874
235	269	871
236	269	868
237	270	865
238	270	862
239	271	859
240	271	856
241	272	853
242	273	850
243	273	847
244	274	844
245	274	841
246	275	838
247	275	835
248	276	832
249	276	829
250	277	826
251	277	823
252	278	821
253	278	818
254	279	815
255	279	812
256	280	810
257	280	807
258	281	804
259	281	801
260	282	799
261	282	796
262	283	793
263	283	791
264	284	788
265	284	785
266	285	783
267	285	780
268	286	778
269	286	775
270	287	773
271	287	770
272	288	768
273	288	765
274	289	763
275	289	760
276	290	758
277	290	755
278	291	753
279	291	750
280	292	748
281	293	746
282	293	743
283	294	741
284	294	739
285	295	736
286	295	734
287	296	732
288	296	729
289	297	727
290	297	725
291	298	723
292	298	720
293	299	718
294	299	716
295	300	714
296	300	712
297	301	709
298	301	707
299	302	705
300	302	703
301	303	700
302	303	698
303	304	696
304	304	694
305	305	692
306	305	690
307	306	688
308	306	686
309	307	684
310	307	682
311	308	680
312	308	677
313	309	675
314	309	673
315	310	671
316	310	669
317	311	667
318	311	665
319	312	663
320	312	661
321	313	659
322	313	657
323	314	655
324	314	653
325	315	651
326	315	650
327	316	648
328	316	646
329	317	644
330	317	642
331	318	640
332	318	638
333	319	637
334	319	635
335	320	633
336	320	631
337	321	629
338	321	627
339	322	626
340	323	624
341	323	622
342	324	621
343	324	619
344	325	617
345	325	615
346	326	613
347	326	612
348	327	610
349	327	608
350	328	606
351	328	605
352	329	603
353	329	601
354	330	600
355	330	598
356	331	596
357	331	595
358	332	593
359	332	591
360	333	590
361	333	588
362	334	586
363	334	585
364	335	583
365	335	581
366	336	580
367	336	578
368	337	577
369	338	575
370	338	573
371	338	572
372	339	570
373	339	569
374	340	567
375	340	565
376	341	564
377	341	562
378	342	561
379	343	559
380	343	558
381	344	556
382	344	555
383	345	553
384	345	552
385	346	550
386	346	548
387	347	547
388	347	545
389	348	544
390	348	542
391	349	541
392	349	540
393	350	538
394	350	537
395	351	535
396	351	534
397	352	532
398	352	531
399	353	529
400	353	528
401	354	526
402	354	525
403	355	523
404	355	522
405	356	521
406	356	519
407	357	518
408	357	517
409	358	515
410	358	514
411	359	512
412	359	511
413	360	510
414	360	508
415	361	507
416	361	505
417	362	504
418	362	503
419	363	501
420	363	500
421	364	499
422	364	497
423	365	496
424	366	495
425	366	494
426	367	492
427	367	491
428	368	490
429	368	488
430	369	487
431	369	486
432	370	485
433	370	483
434	371	482
435	371	481
436	372	479
437	372	478
438	373	477
439	373	475
440	374	474
441	374	473
442	375	472
443	376	470
444	376	469
445	376	468
446	377	467
447	377	465
448	378	464
449	378	463
450	379	462
451	380	460
452	380	459
453	381	458
454	381	457
455	382	456
456	382	454
457	383	453
458	383	452
459	384	450
460	384	449
461	385	448
462	385	447
463	386	446
464	386	444
465	387	443
466	387	442
467	388	441
468	388	440
469	389	438
470	389	437
471	390	436
472	390	435
473	391	434
474	391	432
475	392	431
476	392	430
477	393	429
478	394	428
479	394	427
480	395	426
481	395	425
482	396	424
483	396	422
484	397	421
485	397	420
486	398	419
487	398	418
488	399	417
489	399	415
490	400	414
491	400	413
492	401	412
493	401	411
494	402	410
495	402	409
496	403	408
497	403	406
498	404	405
499	404	404
500	405	403
501	405	402
502	406	401
503	407	400
504	407	399
505	408	398
506	408	397
507	409	396
508	409	395
509	410	394
510	410	393
511	411	392
512	412	391
513	412	390
514	413	389
515	413	388
516	414	386
517	414	385
518	415	384
519	415	383
520	416	382
521	416	381
522	417	380
523	418	379
524	418	378
525	419	377
526	419	376
527	420	375
528	420	374
529	421	373
530	421	372
531	422	371
532	423	370
533	423	369
534	424	368
535	424	367
536	425	366
537	425	365
538	426	364
539	426	363
540	427	362
541	428	361
542	428	360
543	429	359
544	429	358
545	430	357
546	430	356
547	431	355
548	431	354
549	432	353
550	432	352
551	433	351
552	433	350
553	434	349
554	435	348
555	435	347
556	436	346
557	436	345
558	437	345
559	437	344
560	438	343
561	439	342
562	439	341
563	440	340
564	440	339
565	441	338
566	441	337
567	442	336
568	442	335
569	443	334
570	444	333
571	444	332
572	445	331
573	445	330
574	446	329
575	446	328
576	447	327
577	447	326
578	448	325
579	448	324
580	449	324
581	449	323
582	450	322
583	451	321
584	451	320
585	452	319
586	452	318
587	453	317
588	453	316
589	454	315
590	455	314
591	455	313
592	456	313
593	456	312
594	457	311
595	457	310
596	458	309
597	458	308
598	459	307
599	459	306
600	460	305
601	460	304
602	461	303
603	461	302
604	462	301
605	463	301
606	463	300
607	464	299
608	464	298
609	465	297
610	466	296
611	466	295
612	467	294
613	467	293
614	468	293
615	468	292
616	469	291
617	470	290
618	470	289
619	471	288
620	471	287
621	472	286
622	472	286
623	473	285
624	473	284
625	474	283
626	475	282
627	475	281
628	476	280
629	476	279
630	477	279
631	477	278
632	478	277
633	478	276
634	479	275
635	480	274
636	480	273
637	481	273
638	481	272
639	482	271
640	482	270
641	483	269
642	483	268
643	484	267
644	484	266
645	485	266
646	486	265
647	486	264
648	487	263
649	488	263
650	489	262
651	490	261
652	490	260
653	491	259
654	492	259
655	492	258
656	493	257
657	494	256
658	494	256
659	495	255
660	496	254
661	497	253
662	498	253
663	498	252
664	499	251
665	500	251
666	501	250
667	502	249
668	503	249
669	504	248
670	505	248
671	508	247
672	508	247
673	509	246
674	510	245
675	511	244
676	512	244
677	514	244
678	515	243
679	515	242
680	516	241
681	516	240
682	517	240
683	518	239
684	519	238
685	520	238
686	521	237
687	522	236
688	523	236
689	523	235
690	524	234
691	525	233
692	526	233
693	527	232
694	528	231
695	528	230
696	529	230
697	530	229
698	530	228
699	531	227
700	533	227
701	533	226
702	534	225
703	535	224
704	535	224
705	536	223
706	537	222
707	538	222
708	539	221
709	539	220
710	540	219
711	541	218
712	541	218
713	543	217
714	544	216
715	545	216
716	545	215
717	546	214
718	547	214
719	548	213
720	549	212
721	550	212
722	551	211
723	551	210
724	552	209
725	553	208
726	553	207
727	554	207
728	555	206
729	556	205
730	556	204
731	557	204
732	557	203
733	558	202
734	558	201
735	559	200
736	560	199
737	560	199
738	561	198
739	561	197
740	562	196
741	563	195
742	563	194
743	564	194
744	564	193
745	565	192
746	565	191
747	566	190
748	567	190
749	567	189
750	568	188
751	569	187
752	569	186
753	570	186
754	571	185
755	571	184
756	572	183
757	572	182
758	573	182
759	574	181
760	575	180
761	576	179
762	576	179
763	577	178
764	577	177
765	578	176
766	579	176
767	580	175
768	580	174
769	581	173
770	582	172
771	582	172
772	583	171
773	583	170
774	584	169
775	585	168
776	585	168
777	586	167
778	587	166
779	587	165
780	588	164
781	588	164
782	589	163
783	589	162
784	590	161
785	591	160
786	591	160
787	592	159
788	593	158
789	593	157
790	594	157
791	594	156
792	595	155
793	595	154
794	596	153
795	596	152
796	597	152
797	598	151
798	598	150
799	599	149
800	599	149
801	600	148
802	601	147
803	601	146
804	602	145
805	602	145
806	603	144
807	603	143
808	604	142
809	605	141
810	605	141
811	606	140
812	606	139
813	607	138
814	607	138
815	608	137
816	609	136
817	609	135
818	610	134
819	610	134
820	611	133
821	612	132
822	612	131
823	613	131
824	613	130
825	614	129
826	615	128
827	616	127
828	616	127
829	617	126
830	618	125
831	619	125
832	619	124
833	620	123
834	620	122
835	621	121
836	622	121
837	622	120
838	623	119
839	624	118
840	624	118
841	625	117
842	625	116
843	626	115
844	626	115
845	627	114
846	628	113
847	629	112
848	629	112
849	630	111
850	631	110
851	631	109
852	632	108
853	632	108
854	633	107
855	633	106
856	634	105
857	635	105
858	636	104
859	636	103
860	637	102
861	638	102
862	638	101
863	639	100
864	640	99
865	641	99
866	641	98
867	642	97
868	643	96
869	643	96
870	644	95
871	645	94
872	645	93
873	647	93
874	649	92
875	650	92
876	650	91
877	651	90
