iter	Passed	Remaining
0	149	149315
1	150	74971
2	150	50121
3	151	37689
4	152	30283
5	153	25407
6	154	21851
7	154	19172
8	155	17093
9	155	15424
10	156	14057
11	156	12917
12	157	11992
13	158	11174
14	159	10453
15	159	9824
16	160	9267
17	160	8774
18	161	8331
19	161	7937
20	162	7579
21	163	7250
22	163	6954
23	164	6680
24	164	6427
25	165	6192
26	165	5975
27	166	5773
28	166	5586
29	167	5410
30	167	5246
31	168	5092
32	168	4947
33	169	4811
34	170	4687
35	170	4567
36	171	4453
37	171	4346
38	172	4245
39	172	4148
40	173	4055
41	173	3966
42	174	3885
43	175	3804
44	175	3733
45	176	3664
46	177	3593
47	177	3524
48	178	3458
49	178	3396
50	179	3336
51	179	3277
52	180	3224
53	180	3170
54	182	3128
55	182	3079
56	183	3030
57	183	2983
58	184	2939
59	184	2895
60	185	2853
61	185	2812
62	186	2772
63	187	2740
64	188	2708
65	188	2673
66	189	2638
67	189	2603
68	190	2570
69	190	2537
70	191	2505
71	192	2475
72	192	2445
73	193	2416
74	193	2388
75	194	2361
76	194	2335
77	195	2308
78	195	2282
79	196	2257
80	196	2232
81	197	2208
82	197	2182
83	198	2159
84	198	2137
85	199	2116
86	199	2097
87	200	2077
88	201	2058
89	201	2038
90	202	2020
91	202	2002
92	203	1983
93	203	1965
94	204	1947
95	204	1929
96	205	1912
97	205	1895
98	206	1881
99	207	1866
100	207	1850
101	208	1834
102	208	1819
103	209	1804
104	209	1789
105	210	1775
106	211	1761
107	211	1746
108	212	1733
109	212	1720
110	213	1706
111	213	1694
112	214	1681
113	214	1668
114	215	1656
115	215	1643
116	216	1632
117	216	1621
118	217	1610
119	217	1598
120	218	1588
121	219	1576
122	219	1566
123	220	1556
124	220	1545
125	221	1535
126	221	1524
127	222	1514
128	222	1504
129	223	1495
130	224	1486
131	224	1478
132	225	1469
133	225	1460
134	226	1451
135	226	1442
136	227	1433
137	228	1424
138	228	1415
139	229	1407
140	229	1398
141	229	1389
142	230	1382
143	231	1375
144	231	1367
145	232	1359
146	232	1351
147	233	1344
148	234	1336
149	234	1329
150	235	1322
151	235	1315
152	236	1308
153	236	1301
154	237	1295
155	238	1289
156	239	1283
157	239	1276
158	240	1270
159	240	1263
160	241	1256
161	241	1250
162	242	1243
163	242	1237
164	243	1231
165	243	1225
166	244	1220
167	245	1214
168	245	1208
169	246	1202
170	246	1197
171	247	1191
172	248	1186
173	248	1180
174	249	1175
175	249	1170
176	250	1164
177	251	1159
178	251	1153
179	252	1148
180	252	1143
181	253	1138
182	253	1133
183	254	1128
184	255	1123
185	255	1118
186	256	1114
187	256	1109
188	257	1105
189	258	1100
190	258	1096
191	259	1091
192	259	1086
193	260	1082
194	261	1077
195	261	1073
196	262	1070
197	263	1066
198	263	1061
199	264	1057
200	264	1053
201	265	1048
202	266	1044
203	266	1039
204	267	1035
205	267	1032
206	268	1028
207	269	1024
208	269	1020
209	270	1016
210	270	1012
211	271	1008
212	271	1004
213	272	1000
214	272	996
215	273	993
216	274	991
217	275	987
218	275	984
219	276	980
220	277	977
221	277	973
222	278	969
223	278	966
224	279	962
225	280	959
226	280	956
227	281	953
228	282	949
229	282	946
230	283	942
231	283	939
232	284	935
233	284	932
234	285	928
235	285	925
236	286	922
237	287	919
238	288	917
239	288	914
240	289	910
241	289	907
242	290	904
243	291	901
244	291	898
245	292	895
246	292	892
247	293	890
248	294	888
249	295	885
250	295	882
251	296	879
252	296	876
253	297	873
254	298	870
255	298	868
256	299	865
257	300	863
258	300	860
259	301	857
260	301	854
261	302	851
262	303	849
263	303	847
264	304	844
265	305	841
266	305	839
267	306	837
268	307	834
269	307	831
270	308	828
271	308	825
272	309	823
273	309	820
274	310	818
275	310	815
276	311	813
277	312	811
278	313	808
279	313	806
280	314	803
281	314	801
282	315	798
283	315	796
284	316	793
285	316	791
286	317	788
287	318	786
288	318	784
289	319	782
290	320	780
291	320	777
292	321	775
293	321	773
294	322	770
295	323	769
296	324	767
297	325	766
298	326	764
299	326	761
300	327	759
301	327	757
302	328	754
303	328	752
304	329	750
305	329	748
306	330	745
307	331	744
308	331	742
309	332	740
310	333	737
311	333	735
312	334	733
313	334	731
314	335	729
315	335	726
316	336	724
317	337	723
318	338	721
319	338	719
320	339	717
321	339	715
322	340	713
323	340	711
324	341	709
325	342	707
326	342	704
327	343	703
328	344	701
329	344	699
330	345	697
331	345	695
332	346	693
333	346	691
334	347	689
335	347	687
336	348	685
337	348	683
338	349	681
339	350	679
340	350	677
341	351	675
342	351	673
343	352	671
344	352	669
345	353	668
346	354	666
347	354	664
348	355	663
349	356	661
350	356	659
351	357	658
352	358	656
353	358	654
354	359	652
355	359	650
356	360	649
357	360	647
358	361	645
359	362	643
360	362	642
361	363	640
362	363	638
363	364	636
364	364	634
365	365	633
366	366	631
367	366	629
368	367	627
369	367	626
370	368	624
371	369	623
372	369	621
373	370	619
374	370	617
375	371	616
376	371	614
377	372	612
378	372	610
379	373	609
380	374	607
381	374	606
382	375	604
383	375	602
384	376	601
385	376	599
386	377	597
387	378	596
388	378	594
389	379	593
390	379	591
391	380	589
392	380	588
393	381	586
394	381	584
395	382	583
396	382	581
397	383	580
398	384	578
399	384	576
400	385	575
401	386	574
402	386	573
403	387	572
404	388	570
405	389	569
406	389	567
407	390	566
408	390	564
409	391	563
410	391	561
411	392	560
412	393	558
413	394	557
414	394	556
415	395	554
416	395	553
417	396	551
418	396	550
419	397	549
420	398	547
421	398	546
422	399	545
423	400	543
424	400	542
425	401	540
426	402	539
427	402	538
428	403	536
429	403	535
430	404	534
431	405	532
432	405	531
433	406	529
434	406	528
435	407	527
436	408	525
437	408	524
438	409	522
439	409	521
440	410	520
441	410	518
442	411	517
443	411	515
444	412	514
445	413	513
446	414	512
447	414	510
448	415	509
449	415	508
450	416	506
451	416	505
452	417	504
453	417	502
454	418	501
455	419	500
456	419	498
457	420	497
458	420	496
459	421	494
460	422	493
461	422	492
462	423	490
463	423	489
464	424	488
465	424	487
466	425	485
467	426	484
468	426	483
469	427	481
470	427	480
471	428	479
472	428	477
473	429	476
474	429	475
475	430	473
476	431	472
477	431	471
478	432	470
479	432	468
480	433	467
481	433	466
482	434	465
483	435	463
484	435	462
485	436	461
486	436	460
487	437	458
488	438	457
489	438	456
490	439	455
491	439	453
492	440	452
493	440	451
494	441	450
495	441	448
496	442	447
497	442	446
498	443	445
499	444	444
500	444	443
501	445	441
502	446	440
503	446	439
504	447	438
505	447	437
506	448	436
507	449	434
508	449	433
509	450	432
510	451	431
511	451	430
512	452	429
513	452	428
514	453	426
515	454	425
516	454	424
517	455	423
518	455	422
519	456	421
520	457	420
521	457	419
522	458	418
523	458	416
524	459	415
525	460	414
526	460	413
527	461	412
528	461	411
529	462	410
530	463	408
531	463	407
532	464	406
533	464	405
534	465	404
535	466	403
536	466	402
537	467	401
538	467	400
539	468	399
540	469	398
541	469	396
542	470	395
543	470	394
544	471	393
545	472	392
546	472	391
547	473	390
548	473	389
549	474	388
550	474	386
551	475	385
552	476	384
553	476	383
554	477	382
555	477	381
556	478	380
557	479	379
558	479	378
559	480	377
560	480	376
561	481	375
562	482	374
563	482	373
564	483	372
565	483	371
566	484	369
567	485	368
568	485	367
569	486	366
570	486	365
571	487	364
572	488	363
573	488	362
574	489	361
575	489	360
576	490	359
577	491	358
578	491	357
